﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6Fha6tXHkL3r9m9nNqQG8p","Georgia","Vance Joy","Dream Your Life Away","1","8","230506","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:1G7COoZddkxeS4J9wp3aWM","Mama Said","Cat Clyde","Mama Said","1","1","213866","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:64PvmmEK0qTUaVUVvrYR7W","James","Sam Brookes","Kairos","1","3","211106","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:41yIvlFgvGwxq8qTqAR7eG","Bloom - Bonus Track","The Paper Kites","Woodland - EP","1","6","210080","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:6itWAD2WxmAVQgWuk85yXx","Stay With Me - Live From Spotify Berlin","Angus & Julia Stone","Spotify Sessions","1","1","174373","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:1HbcclMpw0q2WDWpdGCKdS","Tenerife Sea","Ed Sheeran","x (Deluxe Edition)","1","8","241346","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:4ToSbnK7fD5vE9R5sgWPsy","Cleopatra","The Lumineers","Cleopatra","1","3","201413","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:3cNjgVBKTJ1SvKhunrCdVy","Please Don't Go","Joel Adams","Please Don't Go","1","1","210580","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:0bZ52QzCCKfrfOqs7za6lI","Cherry Wine - Live","Hozier","Hozier","1","13","240146","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:1ePfCeQi0gr1a7nR6ic51O","Mayflies","Benjamin Francis Leftwich","Mayflies","1","1","252633","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:5hGhweoDb1rZalo01o87zm","Sophie","Bear's Den","Without / Within","1","5","304493","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:3XzLC1TU451F0nPiJitk49","After Rain","Dermot Kennedy","After Rain","1","1","294000","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:6fhEYtnORqxaEoxSrMH2bx","Don't You Cry For Me","Cobi","Don't You Cry For Me","1","1","256333","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:0CD3Z3gOchJmZHC0IQWBY8","Jungle (Radio Edit)","Tash Sultana","Jungle (Radio Edit)","1","1","236876","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:6CWIKEpJJjxLmcGhD8DN3T","Bungalow","Scott Helman","Augusta","1","1","212093","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:3Hvg5tRKsQlX25wYwgMF9p","Flowers in Your Hair","The Lumineers","The Lumineers","1","1","109735","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:1J7fNMqhNMF5lVVTeL5u85","Why Don't You Listen","James Cherry","Why Don't You Listen","1","1","204655","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:2UcrOnNw5WJr6Xu2q8QAPI","In Your Arms","Felix Riebl, Martha Wainwright","In Your Arms","1","1","208853","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:0FzY5M1jGWIc9yHQEDGlzF","Wild Sun","The Strumbellas","Hope","1","11","269573","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:6GRDI9suQHikFP6euIXnpq","Hero","Family of the Year","Loma Vista","1","5","190280","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:0PZLSFZUf910nZ9qFtQqAf","Dreamer","Isbells","Isbells","1","5","265013","spotify:user:spotify","2016-11-18T06:03:13Z"
